var,reason
DQ03_2,nominal code (occupation major group; pre-coded)
DQ44_2,nominal code (spouse occupation major group; pre-coded)
DQ35B,income bracket of spouse with a 'no spouse' code on the same scale (not recoded here)
DQ57A,answer-format code (wake time: 1 = time given / 2 = not fixed)
DQ57B,answer-format code (leave-home time: 1 = time given / 2 = not fixed)
DQ57C,answer-format code (return-home time: 1 = time given / 2 = not fixed)
DQ57D,answer-format code (bed time: 1 = time given / 2 = not fixed)
DQ48_1A,date component (calendar era of spouse's birth year)
DQ49_1AA,date component (calendar era of the year dating began)
DQ49_1BA,date component (calendar era of the marriage year)
DQ02_1,nominal code (in school or keeping house)
DQ03_1,nominal code (employment form of current job)
dq03_2c,nominal code (occupation minor-group code)
dq03_2l,nominal code (occupation major group; after-code)
dq03_6c,nominal code (SSM industry code)
dq10_22z,nominal code (relationship of household member 1)
dq10_23z,nominal code (relationship of household member 2)
dq10_24z,nominal code (relationship of household member 3)
dq10_25z,nominal code (relationship of household member 4)
dq10_26z,nominal code (relationship of household member 5)
DQ30,nominal code (party supported)
DQ32,nominal code (party voted for; 2010 upper-house proportional vote)
DQ33_1,nominal code (party for a hypothetical lower-house proportional vote)
DQ39,nominal code (housing tenure type)
DQ43,nominal code (marital status)
DQ44_1,nominal code (employment form of spouse)
dq44_2c,nominal code (spouse occupation minor-group code)
dq44_2l,nominal code (spouse occupation major group; after-code)
DQ52_2,nominal code (how respondent would meet a partner)
DQ57AY,clock-time component (hour of wake time; the time enters as dq57a24)
DQ57AZ,clock-time component (minute of wake time; the time enters as dq57a24)
DQ57BY,clock-time component (hour of leave-home time; the time enters as dq57b48)
DQ57BZ,clock-time component (minute of leave-home time; the time enters as dq57b48)
DQ57CY,clock-time component (hour of return-home time; the time enters as dq57c48)
DQ57CZ,clock-time component (minute of return-home time; the time enters as dq57c48)
DQ57DY,clock-time component (hour of bed time; the time enters as dq57d48)
DQ57DZ,clock-time component (minute of bed time; the time enters as dq57d48)
dq57b24,duplicate recode (leave-home time on a 24-hour clock; dq57b48 is kept)
dq57c24,duplicate recode (return-home time on a 24-hour clock; dq57c48 is kept)
dq57d24,duplicate recode (bed time on a 24-hour clock; dq57d48 is kept)
DQ44_4Y,clock-time component (hour of spouse's return-home time)
DQ44_4Z,clock-time component (minute of spouse's return-home time)
DQ46M,duration component (months beyond whole years of premarital cohabitation)
DQ54_1M,duration component (months beyond whole years of the current relationship)
