var,set,battery,k,midpoint,note
DQ25A,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ25B,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ25C,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ25D,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ25E,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ25F,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28A,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28B,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28C,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28D,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28E,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ28F,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29A,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29B,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29C,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29D,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29E,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ29F,rating,agree5,5,TRUE,agreement (agree ... disagree) with a neutral middle category
DQ18A,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category; code 6 (no job) is not applicable
DQ18B,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category; code 6 (not married) is not applicable
DQ18C,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category; code 6 (no friends) is not applicable
DQ18D,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category; code 6 (no parents) is not applicable
DQ18E,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category; code 6 (no children) is not applicable
DQ18F,rating,satis5,5,TRUE,satisfaction (satisfied ... dissatisfied) with a neutral middle category
DQ04_1A,rating,agree4,4,FALSE,four-point applies ... does not apply (job characteristics)
DQ04_1B,rating,agree4,4,FALSE,four-point applies ... does not apply (job characteristics)
DQ04_1C,rating,agree4,4,FALSE,four-point applies ... does not apply (job characteristics); code 5 (no subordinates) is not applicable
