"covariate","smd_unw","smd_ipw"
"sex",-0.0042,-6e-04
"yb",0.001,-0.0029
"nc_DQ60",0.0323,1e-04
"nc_DQ61",-0.041,-0.0013
"nc_DQ63",0.0024,2e-04
"nc_DQ65",-0.0173,4e-04
"nc_DQ62_A",0.0533,0.0022
"nc_DQ62_B",-0.0704,-6e-04
"nc_DQ62_C",0.038,-7e-04
"nc_DQ62_E",-0.0551,0.001
"nc_DQ62_F",-0.0419,-4e-04
"nc_DQ62_G",8e-04,-9e-04
"nc_DQ62_H",-0.024,-7e-04
"nc_DQ62_I",-0.0444,3e-04
"nc_DQ62_J",-0.0027,-5e-04
"nc_DQ62_K",0.0212,0
"nc_DQ62_L",-0.0676,-0.0035
"nc_DQ62_M",-0.0103,9e-04
"nc_DQ62_N",-0.0055,4e-04
"nc_DQ62_O",-0.021,5e-04
"nc_DQ62_P",0.0087,5e-04
"nc_DQ62_Q",0.0258,-8e-04
"nc_DQ62_R",-0.0335,-0.001
"nc_DQ62_S",-0.0098,-3e-04
"nc_DQ62_T",-0.0619,-3e-04
