"dose_def","family","estimator","n_items","n_affected","n_equivalent","n_undetermined","median_abs_d","share_positive"
"exact","A_substantive","naive",42,36,0,6,0.1139,0.81
"exact","A_substantive","sm",42,4,0,38,0.0265,0.548
"exact","A_substantive","ssm",42,4,0,38,0.0305,0.643
"exact","A_substantive","ec",36,4,19,13,0.0207,0.444
"exact","A_substantive","ec_adj",36,4,19,13,0.0207,0.444
"exact","B_itemnonresp","naive",35,0,34,1,0.0237,0.229
"exact","B_itemnonresp","sm",35,0,31,4,0.0228,0.4
"exact","B_itemnonresp","ssm",35,0,31,4,0.0351,0.457
"exact","B_itemnonresp","ec",30,0,28,2,0.0247,0.333
"exact","B_itemnonresp","ec_adj",30,0,28,2,0.0241,0.367
"exact","B_dk","naive",30,30,0,0,0.1533,0
"exact","B_dk","sm",30,29,0,1,0.1424,0
"exact","B_dk","ssm",30,29,0,1,0.1461,0
"exact","B_dk","ec",25,25,0,0,0.1532,0
"exact","B_dk","ec_adj",25,25,0,0,0.1505,0
"exact","P_style","naive",4,4,0,0,0.1209,0.25
"exact","P_style","sm",4,3,1,0,0.1487,0.25
"exact","P_style","ssm",4,3,1,0,0.1634,0.25
"exact","P_style","ec",4,4,0,0,0.1275,0.25
"exact","P_style","ec_adj",4,4,0,0,0.1252,0.25
"any","A_substantive","naive",42,5,19,18,0.0276,0.69
"any","A_substantive","sm",42,27,0,15,0.095,0.19
"any","A_substantive","ssm",42,11,0,31,0.075,0.214
"any","A_substantive","ec",36,4,21,11,0.0184,0.333
"any","A_substantive","ec_adj",36,4,21,11,0.0194,0.417
"any","B_itemnonresp","naive",35,0,33,2,0.0253,0.343
"any","B_itemnonresp","sm",35,0,32,3,0.0239,0.543
"any","B_itemnonresp","ssm",35,0,30,5,0.0338,0.514
"any","B_itemnonresp","ec",30,0,28,2,0.0245,0.367
"any","B_itemnonresp","ec_adj",30,0,28,2,0.0239,0.367
"any","B_dk","naive",30,30,0,0,0.1498,0
"any","B_dk","sm",30,29,0,1,0.1437,0
"any","B_dk","ssm",30,29,0,1,0.1505,0
"any","B_dk","ec",25,25,0,0,0.1514,0
"any","B_dk","ec_adj",25,25,0,0,0.1526,0
"any","P_style","naive",4,4,0,0,0.109,0.25
"any","P_style","sm",4,3,1,0,0.134,0.25
"any","P_style","ssm",4,3,1,0,0.1441,0.25
"any","P_style","ec",4,4,0,0,0.1232,0.25
"any","P_style","ec_adj",4,4,0,0,0.1231,0.25
