"dose_def","battery","indicator","estimator","n_items_w5","n_items_w1","estimate","se_boot","sd_pool","d_std","p","n_old","n_new"
"exact","rating_common (main)","ext","naive",25,25,0.01376,0.00357,0.11325,0.1215,0.0001179,2682,963
"exact","rating_common (main)","ext","sm",25,25,0.01779,0.00468,0.11325,0.1571,0.0001451,2682,578
"exact","rating_common (main)","ext","ssm",25,25,0.01808,0.00497,0.11325,0.1597,0.000276,2347,493
"exact","rating_common (main)","ext","ec",25,25,0.01542,0.00413,0.11325,0.1362,0.0001883,2682,963
"exact","rating_common (main)","ext","ec_adj",25,25,0.01549,0.00413,0.11325,0.1368,0.0001731,2682,963
"exact","rating_common (main)","mid","naive",20,20,-0.01472,0.00418,0.12492,-0.1178,0.0004349,2682,963
"exact","rating_common (main)","mid","sm",20,20,-0.01934,0.00528,0.12492,-0.1548,0.0002472,2682,578
"exact","rating_common (main)","mid","ssm",20,20,-0.02064,0.00577,0.12492,-0.1652,0.0003485,2347,493
"exact","rating_common (main)","mid","ec",20,20,-0.01379,0.00441,0.12492,-0.1104,0.00177,2682,963
"exact","rating_common (main)","mid","ec_adj",20,20,-0.01383,0.00432,0.12492,-0.1107,0.001385,2682,963
"exact","agree_common","ext","naive",20,20,0.01476,0.00358,0.11907,0.124,3.697e-05,2682,963
"exact","agree_common","ext","sm",20,20,0.01905,0.00489,0.11907,0.16,9.689e-05,2682,578
"exact","agree_common","ext","ssm",20,20,0.01993,0.00516,0.11907,0.1674,0.0001124,2347,493
"exact","agree_common","ext","ec",20,20,0.0168,0.00431,0.11907,0.1411,9.61e-05,2682,963
"exact","agree_common","ext","ec_adj",20,20,0.01694,0.00432,0.11907,0.1422,8.769e-05,2682,963
"exact","agree_common","mid","naive",20,20,-0.01472,0.00418,0.12492,-0.1178,0.0004349,2682,963
"exact","agree_common","mid","sm",20,20,-0.01934,0.00528,0.12492,-0.1548,0.0002472,2682,578
"exact","agree_common","mid","ssm",20,20,-0.02064,0.00577,0.12492,-0.1652,0.0003485,2347,493
"exact","agree_common","mid","ec",20,20,-0.01379,0.00441,0.12492,-0.1104,0.00177,2682,963
"exact","agree_common","mid","ec_adj",20,20,-0.01383,0.00432,0.12492,-0.1107,0.001385,2682,963
"exact","bipolar_common","ext","naive",20,20,0.01476,0.00358,0.11907,0.124,3.697e-05,2682,963
"exact","bipolar_common","ext","sm",20,20,0.01905,0.00489,0.11907,0.16,9.689e-05,2682,578
"exact","bipolar_common","ext","ssm",20,20,0.01993,0.00516,0.11907,0.1674,0.0001124,2347,493
"exact","bipolar_common","ext","ec",20,20,0.0168,0.00431,0.11907,0.1411,9.61e-05,2682,963
"exact","bipolar_common","ext","ec_adj",20,20,0.01694,0.00432,0.11907,0.1422,8.769e-05,2682,963
"exact","bipolar_common","mid","naive",20,20,-0.01472,0.00418,0.12492,-0.1178,0.0004349,2682,963
"exact","bipolar_common","mid","sm",20,20,-0.01934,0.00528,0.12492,-0.1548,0.0002472,2682,578
"exact","bipolar_common","mid","ssm",20,20,-0.02064,0.00577,0.12492,-0.1652,0.0003485,2347,493
"exact","bipolar_common","mid","ec",20,20,-0.01379,0.00441,0.12492,-0.1104,0.00177,2682,963
