"regime","gamma","rej_TNS","rej_TSD","rej_TNS_within","rej_TSD_within","mean_TNS","mean_TSD","R","mcse_rej_TNS","mcse_rej_TSD"
"MCAR",0.3,0.046,0.053,0.046,0.056,-0.00062076015359524,-3.37199009476469e-05,1000,0.00662449998113065,0.00708456067798138
"MCAR",0,0.046,0.053,0.046,0.056,-0.000620760153595238,-2.28274175516885e-05,1000,0.00662449998113065,0.00708456067798138
"MAR_X",0.3,0.041,0.056,0.043,0.058,-7.01298923664292e-05,-0.000134270034667366,1000,0.00627048642451285,0.00727076337120113
"MAR_X",0,0.041,0.056,0.043,0.06,-7.01298923664296e-05,-0.000144061592983459,1000,0.00627048642451285,0.00727076337120113
"MNAR_trait",0.3,0.039,0.056,0.042,0.062,0.00113862327641329,-0.00244863095821914,1000,0.00612200947402076,0.00727076337120113
"MNAR_trait",0,0.039,0.044,0.042,0.056,0.00113862327641329,0.00124863775142502,1000,0.00612200947402076,0.00648567652600714
"MNAR_nonstat",0.3,0.623,0.078,0.647,0.088,-0.0791763310025327,0.0103292170453817,1000,0.0153255016231117,0.00848033018225116
"MNAR_nonstat",0,0.623,0.088,0.647,0.112,-0.0791763310025327,0.0127998757467323,1000,0.0153255016231117,0.00895857131466843
"MNAR_state",0.3,0.04,0.993,0.044,0.997,0.000807746394670561,-0.104265433226862,1000,0.00619677335393187,0.00263647491928143
"MNAR_state",0,0.04,0.991,0.044,0.993,0.000807746394670559,-0.101620335317875,1000,0.00619677335393187,0.00298646948753876
"MNAR_both",0.3,0.43,0.945,0.45,0.96,-0.0664083032245436,-0.076270939250513,1000,0.0156556698994326,0.00720936890441875
"MNAR_both",0,0.43,0.93,0.45,0.95,-0.0664083032245436,-0.0734352751829484,1000,0.0156556698994326,0.00806845710157772
