"regime","gamma","estimator","target","bias_own","mcse_bias","bias_pop","rmse_own","sd_est","mean_se","cover95","mcse_cover","target_pop","target_surv","target_surv_s","R"
"MCAR",0.3,"naive","target_surv",0.000524053863569188,0.0013455661238286,0.00048420708881217,0.0425324849715304,0.0428231926989162,0.0424564250267423,0.941,0.00745110730026082,0.189613995795687,0.18957414902093,0.189563256537535,1000
"MCAR",0.3,"sm","target_surv",-7.08016109544355e-05,0.00158770687672098,-0.000110648385711454,0.0501826396887293,0.0504535380199921,0.0501561650475752,0.949,0.00695693898205238,0.189613995795687,0.18957414902093,0.189563256537535,1000
"MCAR",0.3,"ssm","target_surv_s",-9.36290285061246e-05,0.00168335095663114,-0.0001443682866591,0.0532056908529788,0.0534517242646726,0.0528779190973218,0.946,0.00714730718522718,0.189613995795687,0.18957414902093,0.189563256537535,1000
"MCAR",0.3,"ipw","target_pop",0.000459388125823713,0.00134322014707125,0.000459388125823713,0.042457592496334,0.042646979819732,NA,NA,NA,0.189613995795687,0.18957414902093,0.189563256537535,1000
"MCAR",0.3,"ec","target_surv",0.000549958542640805,0.00135850460211601,0.000510111767883787,0.0429417241574559,0.0431547688460815,0.0432616035319997,0.948,0.00702111102319284,0.189613995795687,0.18957414902093,0.189563256537535,1000
"MCAR",0,"naive","target_surv",0.000524053863569191,0.0013455661238286,0.000524053863569191,0.0425324849715304,0.0425505369366255,0.0422312591594424,0.941,0.00745110730026082,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MCAR",0,"sm","target_surv",-7.08016109544319e-05,0.00158770687672098,-7.08016109544319e-05,0.0501826396887293,0.0502076998715048,0.0499656408076319,0.949,0.00695693898205238,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MCAR",0,"ssm","target_surv_s",-9.36290285061205e-05,0.00168335095663114,-9.36290285061205e-05,0.0532056908529788,0.0532322312437771,0.0526772021353419,0.946,0.00714730718522718,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MCAR",0,"ipw","target_pop",0.000498745515692673,0.00133993083056294,0.000498745515692673,0.0423540784712855,0.0423723333166004,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MCAR",0,"ec","target_surv",0.000549958542640806,0.00135850460211601,0.000549958542640806,0.0429417241574559,0.0429596875450739,0.0431123411767983,0.948,0.00702111102319284,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MAR_X",0.3,"naive","target_surv",-0.0579872928461327,0.00133530871424038,-0.0579926316501345,0.0717202373433547,0.0424617031427103,0.0435526613386551,0.747,0.0137473997541353,0.189630177277345,0.189624838473344,0.18963463003166,1000
"MAR_X",0.3,"sm","target_surv",-0.00140724087785036,0.00168854801804334,-0.00141257968185212,0.0533884214199778,0.0535855719511471,0.0555016879267275,0.96,0.00619677335393187,0.189630177277345,0.189624838473344,0.18963463003166,1000
"MAR_X",0.3,"ssm","target_surv_s",-0.00155130247083382,0.00182478557988435,-0.00154684971651949,0.0576967859546554,0.0578947358700597,0.0597449473624346,0.952,0.00675988165576884,0.189630177277345,0.189624838473344,0.18963463003166,1000
"MAR_X",0.3,"ipw","target_pop",-0.00120094054358735,0.00133011319943305,-0.00120094054358735,0.0420579859286194,0.0421996119182231,NA,NA,NA,0.189630177277345,0.189624838473344,0.18963463003166,1000
"MAR_X",0.3,"ec","target_surv",-0.00133711098548393,0.00138782343628557,-0.0013424497894857,0.0438852560913195,0.0440210365694071,0.0448524028284546,0.957,0.00641490451994416,0.189630177277345,0.189624838473344,0.18963463003166,1000
"MAR_X",0,"naive","target_surv",-0.0579872928461327,0.00133530871424038,-0.0579872928461327,0.0717202373433547,0.0422261691647052,0.0432833076517264,0.745,0.0137831418769452,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MAR_X",0,"sm","target_surv",-0.00140724087785036,0.00168854801804334,-0.00140724087785036,0.0533884214199778,0.0533965767558005,0.0552904607747525,0.959,0.00627048642451286,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MAR_X",0,"ssm","target_surv_s",-0.00155130247083382,0.00182478557988435,-0.00155130247083382,0.0576967859546554,0.0577047867386568,0.05951691557592,0.951,0.00682634602111555,0.189636167648567,0.189636167648567,0.189636167648567,1000
