"regime","gamma","var_emp_ec","var_if_ec","var_within_ec","var_emp_TNS","var_if_TNS","var_within_TNS","var_emp_TSD","var_if_TSD","var_within_TSD","cover_ec_if","cover_ec_within","mean_p_surv","mean_delta_E","R"
"MCAR",0.3,0.00186233407415873,0.00187212979245833,0.00187368184086214,0.000839644321201875,0.000859934315476591,0.000860391554763905,0.000289136551732771,0.000282858330341811,0.000282672694815063,0.948,0.948,0.657202291666667,-7.01598068218972e-05,1000
"MCAR",0,0.00184553475397037,0.00185924070651139,0.00186078866735457,0.000839644321201875,0.000859934315476591,0.000860391554763905,0.000287094758983659,0.000280740538681784,0.000280554746011243,0.948,0.948,0.657202291666667,-7.01598068218972e-05,1000
"MAR_X",0.3,0.00193785166064508,0.00201232392177623,0.0020131815179324,0.00132010879490437,0.00142383822433496,0.00142042343729857,0.000527657970176287,0.000499155333888281,0.000496563022933961,0.957,0.957,0.535520208333333,-0.12196064269601,1000
"MAR_X",0,0.0019260538903035,0.00199920730218231,0.00200005979252798,0.00132010879490437,0.00142383822433496,0.00142042343729857,0.000524706385861604,0.000495449554398239,0.000492855235525988,0.955,0.955,0.535520208333333,-0.12196064269601,1000
"MNAR_trait",0.3,0.00200943449780084,0.00196085626743955,0.00195153955910472,0.00115936194054129,0.00123785934215982,0.00117282168287374,0.000351248582675414,0.000356560770079444,0.000330845795022136,0.945,0.944,0.574873333333333,-0.463087488192069,1000
"MNAR_trait",0,0.00199967114734829,0.00195048529323911,0.00194116482437036,0.00115936194054129,0.00123785934215982,0.00117282168287374,0.00034862398448587,0.00035383632698357,0.000328955210738199,0.944,0.944,0.574873333333333,-0.463087488192069,1000
"MNAR_nonstat",0.3,0.00202783513512595,0.00198630490013967,0.00196826339238604,0.00117634951050703,0.00125660239703563,0.00118289814849506,0.000337403410695275,0.000345375715257563,0.000321611413171475,0.946,0.945,0.551379166666667,-0.617631484433118,1000
"MNAR_nonstat",0,0.00201829980740118,0.00197808323836526,0.00196003862221293,0.00117634951050703,0.00125660239703563,0.00118289814849506,0.00033610705581441,0.00034366696115218,0.000320375307467009,0.946,0.945,0.551379166666667,-0.617631484433118,1000
"MNAR_state",0.3,0.00206496918773391,0.00203008228911889,0.00201914570940165,0.00129371089843916,0.00146489625690404,0.0013904330034242,0.00048729626046641,0.000498267120348757,0.00044653002574845,0.362,0.361,0.532587708333333,-0.492462947931665,1000
"MNAR_state",0,0.00205068868481307,0.00201730403610665,0.00200636245464316,0.00129371089843916,0.00146489625690404,0.0013904330034242,0.000483284983415578,0.000493435888971972,0.000443381774788786,0.361,0.359,0.532587708333333,-0.492462947931665,1000
"MNAR_both",0.3,0.00204183880746612,0.00205750951290827,0.00202902145522908,0.00175002378242212,0.0015227473499536,0.00138776741607018,0.000428314891731295,0.000440889172076032,0.000382636479877969,0.591,0.584,0.512916875,-0.761023336447302,1000
"MNAR_both",0,0.00203353844968417,0.00204803440935149,0.00201954250060984,0.00175002378242212,0.0015227473499536,0.00138776741607018,0.000425103768805315,0.000437447661080959,0.00038122486884251,0.588,0.581,0.512916875,-0.761023336447302,1000
