"beta","h_true","p_target","n_ok","coverage","coverage_v1_rule","mean_width","mean_hL","mean_hU","naive_bias","theory_width_note","pop_hL","pop_hU","pop_width","relaxed_hL","relaxed_hU","relaxed_width"
0,0,0.6,200,1,1,0.5821,-0.3014,0.2807,-0.00367094542313544,0,0,0,0,-0.3035,0.3035,0.607
0.3,0,0.6,200,1,1,0.60655,-0.1845,0.42205,0.117704172702006,0.3,0,0.259978557085699,0.259978557085699,-0.1995,0.435,0.6345
0.6,0,0.6,200,0.95,0.95,0.67805,-0.11595,0.5621,0.219673351403299,0.6,0,0.489441809250379,0.489441809250379,-0.13,0.5765,0.7065
0,0.2,0.6,200,1,1,0.5953,-0.1002,0.4951,0.00281734288007154,0,0.2,0.2,0,-0.1035,0.5035,0.607
0.3,0.2,0.6,200,1,1,0.6118,0.00705,0.61885,0.11643048885762,0.3,0.2,0.459978557085699,0.259978557085699,5e-04,0.635,0.6345
0.6,0.2,0.6,200,0.93,0.93,0.6669,0.09055,0.75745,0.217650239692467,0.6,0.2,0.689441809250379,0.489441809250379,0.0700000000000001,0.7765,0.7065
0,0,0.8,199,0.964824120603015,0.964824120603015,0.260050251256281,-0.130502512562814,0.129547738693467,-0.000765734825187814,0,0,0,0,-0.1535,0.1535,0.307
0.3,0,0.8,199,0.894472361809045,0.894472361809045,0.264924623115578,-0.0776884422110553,0.187236180904523,0.0560725031172594,0.3,0,0.144820577522563,0.144820577522563,-0.1045,0.2235,0.328
0.6,0,0.8,200,0.815,0.815,0.3236,-0.04605,0.27755,0.115764899024324,0.6,0,0.262307528079916,0.262307528079916,-0.075,0.308,0.383
0,0.2,0.8,200,0.965,0.965,0.2516,0.07125,0.32285,-0.00354433044163363,0,0.2,0.2,0,0.0465,0.3535,0.307
0.3,0.2,0.8,200,0.895,0.895,0.2658,0.12485,0.39065,0.058233033311322,0.3,0.2,0.344820577522563,0.144820577522563,0.0955,0.4235,0.328
0.6,0.2,0.8,200,0.76,0.76,0.3092,0.15975,0.46895,0.114332899939044,0.6,0.2,0.462307528079916,0.262307528079916,0.125,0.508,0.383
